Authors,Year,Title,DOI,URL
"M. S. Salleh, S. A. Asmai, H. Basiron and S. Ahmad",2017,A Malay named entity recognition using conditional random fields,10.1109/ICoICT.2017.8074647,https://ieeexplore.ieee.org/document/8074647/
"M. S. Salleh, S. A. Asmai, H. Basiron and S. Ahmad",2018,Named entity recognition using fuzzy c-means clustering method for Malay textual data analysis,,https://core.ac.uk/download/pdf/229277046.pdf
"J. Santoso, E. I. Setiawan, C. N. Purwanto, E. M. Yuniarno, M. Hariadi and M. H. Purnomo",2021,Named entity recognition for extracting concept in ontology building on Indonesian language using end-to-end bidirectional long short term memory,https://doi.org/10.1016/j.eswa.2021.114856,https://www.sciencedirect.com/science/article/abs/pii/S0957417421002979
"S. Sukardi, M. Susanty, A. Irawan and R. F. Putra",2020,Low Complexity Named-Entity Recognition for Indonesian Language using BiLSTM-CNNs,10.1109/ICOIACT50329.2020.9331989,https://ieeexplore.ieee.org/document/9331989/
"N. Taufik, A. F. Wicaksono and M. Adriani",2017,Named entity recognition on Indonesian microblog messages,10.1109/IALP.2016.7876005,https://ieeexplore.ieee.org/document/7876005/
"T. Tsygankova, F. Marini, S. Mayhew and D. Roth",2021,Building Low-Resource NER Models Using Non-Speaker Annotations,,https://aclanthology.org/2021.dash-1.11/
"B. Zamri Abu, I. Normaly Kamal and R. Mohd Izani Mohamed",2017,Rule-based Approach on Extraction of Malay Compound Nouns in Standard Malay Document,http://dx.doi.org/10.1088/1757-899X/226/1/012106,https://www.proquest.com/scholarly-journals/rule-based-approach-on-extraction-malay-compound/docview/2564094023/se-2
"A. N. Hakim, R. Mahendra, M. Adriani and A. S. Ekakristi",2018,Corpus development for Indonesian consumer-health question answering system,10.1109/ICACSIS.2017.8355037,https://ieeexplore.ieee.org/document/8355037/
"H. T. Lim, S. H. Huspi and R. Ibrahim",2021,A Conceptual Framework for Malay-English Mixed-language Question Answering System,10.1109/ICOTEN52080.2021.9493503,https://ieeexplore.ieee.org/document/9493503/
"R. Mahendra, A. N. Hakim and M. Adriani",2018,Towards question identification from online healthcare consultation forum post in bahasa,10.1109/IALP.2017.8300627,https://ieeexplore.ieee.org/document/8300627/
"V. R. Oktavia, U. L. Laili Yuhana, C. Fatichah and A. Purwarianti",2021,WPS: Application for Generating Answer of Word Problem in Bahasa Indonesia,10.1109/ICISS53185.2021.9533256,https://ieeexplore.ieee.org/document/9533256/
R. A. Yunmar and I. Wayan Wiprayoga Wisesa,2019,Design of Ontology-based Question Answering System for Incompleted Sentence Problem,10.1088/1755-1315/258/1/012032,https://iopscience.iop.org/article/10.1088/1755-1315/258/1/012032/meta
"B. D. Wijanarko, Y. Heryadi, H. Toba and W. Budiharto",2020,Automated question generating method based on derived keyphrase structures from bloom's taxonomy,10.24507/icicel.14.11.1059,http://www.icicel.org/ell/contents/2020/11/el-14-11-04.pdf
"B. D. Wijanarko, Y. Heryadi, H. Toba and W. Budiharto",2021,"Question generation model based on key-phrase, context-free grammar, and Bloom’s taxonomy",10.1007/s10639-020-10356-4,https://link.springer.com/article/10.1007/s10639-020-10356-4
"M. Wisnu Prabowo, I. Budi and H. Budi Santoso",2021,Developing Question Generation System for Bahasa Indonesia Using Indonesian Standard Language Regulation,10.1145/3457784.3457824,https://dl.acm.org/doi/10.1145/3457784.3457824
"M. Rif’at, R. Mahendra, I. Budi and H. A. Wibowo",2018,Towards product attributes extraction in Indonesian e-commerce platform,10.13053/CyS-22-4-3073,http://www.scielo.org.mx/scielo.php?pid=S1405-55462018000401367&script=sci_arttext&tlng=en
D. Gunawan and A. Amalia,2018,Review of the recent research on automatic text summarization in Bahasa Indonesia,10.1109/IAC.2018.8780512,https://ieeexplore.ieee.org/document/8780512/
"R. Adelia, S. Suyanto and U. N. Wisesty",2019,Indonesian abstractive text summarization using bidirectional gated recurrent unit,10.1016/j.procs.2019.09.017,https://www.sciencedirect.com/science/article/pii/S1877050919311755
"R. Adhitama, R. Kusumaningrum and R. Gernowo",2017,Topic labeling towards news document collection based on Latent Dirichlet Allocation and ontology,10.1109/ICICOS.2017.8276370,https://ieeexplore.ieee.org/document/8276370/
"S. Alias, S. K. Mohammad, K. H. Gan and T. T. Ping",2018,MYTextSum: A Malay Text Summarizer Model Using a Constrained Pattern-Growth Sentence Compression Technique,10.1007/978-981-10-8276-4_14,https://link.springer.com/chapter/10.1007/978-981-10-8276-4_14
"S. Alias, S. K. Mohammad, G. K. Hoon and T. T. Ping",2016,A Malay text corpus analysis for sentence compression using pattern-growth method,10.11113/jt.v78.7413,https://journals.utm.my/jurnalteknologi/article/view/7413
"S. Alias, S. K. Mohammad, G. K. Hoon and T. T. Ping",2017,"Extract, compress and summarize–An experiment using Malay news article",10.1166/asl.2017.8317,https://www.ingentaconnect.com/contentone/asp/asl/2017/00000023/00000005/art00116
"S. Alias, S. K. Mohammad, G. K. Hoon and T. T. Ping",2017,A Malay text summarizer using pattern-growth method with sentence compression rules,10.1109/INFRKM.2016.7806326,https://ieeexplore.ieee.org/document/7806326
"S. Alias, S. K. Mohammad, G. K. Hoon and M. S. Sainin",2018,Understanding Human Sentence Compression Pattern for Malay Text Summarizer,10.1109/INFRKM.2018.8464788,https://ieeexplore.ieee.org/document/8464788/
"S. Alias, M. S. Sainin and S. K. Mohammad",2020,Bilingual extractive text summarization model using textual pattern constraints,10.17576/gema-2020-2003-05,https://eprints.ums.edu.my/26542/
"S. Alias, M. S. Sainin and S. K. Mohammad",2021,A Syntactic-based Sentence Validation Technique for Malay Text Summarizer,10.32890/JICT2021.20.3.3,http://e-journal.uum.edu.my/index.php/jict/article/view/jict2021.20.3.3
"Z. Cai, N. Lin, C. Ma and S. Jiang",2019,Indonesian Automatic Text Summarization Based on A New Clustering Method in Sentence Level,https://doi.org/10.1145/3341620.3341626,https://dl.acm.org/doi/10.1145/3341620.3341626
G. Garmastewira and M. L. Khodra,2019,Summarizing Indonesian news articles using Graph Convolutional Network,http://dx.doi.org/10.32890/jict2019.18.3.4675,http://e-journal.uum.edu.my/index.php/jict/article/view/4675
"D. Gunawan, S. H. Harahap and R. F. Fadillah Rahmat",2019,Multi-document Summarization by using TextRank and Maximal Marginal Relevance for Text in Bahasa Indonesia,10.1109/ICISS48059.2019.8969785,https://ieeexplore.ieee.org/document/8969785/
"D. Gunawan, A. Pasaribu, R. F. Rahmat and R. Budiarto",2017,Automatic Text Summarization for Indonesian Language Using TextTeaser,http://dx.doi.org/10.1088/1757-899X/190/1/012048,https://iopscience.iop.org/article/10.1088/1757-899X/190/1/012048/meta
"A. F. Hidayatullah, W. Kurniawan and C. I. Ratnasari",2019,Topic modeling on Indonesian online shop chat,10.1145/3342827.3342831,https://dl.acm.org/doi/10.1145/3342827.3342831
"F. Koto, J. H. Lau and T. Baldwin",2020,Liputan6: A Large-scale Indonesian Dataset for Text Summarization,,https://aclanthology.org/2020.aacl-main.60
G. Mandar and G. Gunawan,2017,Peringkasan dokumen berita bahasa indonesia menggunakan metode cross latent semantic analysis,10.26594/register.v3i2.1161,http://journal.unipdu.ac.id/index.php/register/article/view/1161
"D. S. a. Maylawati, C. N. Alam, M. F. Muharram, M. A. Ramdhani, A. S. Amin and H. Aulawi",2020,The purpose of bellman-ford algorithm to summarize the multiple scientific indonesian journal articles,10.1109/ICWT50448.2020.9243645,https://ieeexplore.ieee.org/document/9243645/
"D. S. a. Maylawati, Y. J. Kumar, F. B. Kasmin and B. Raza",2019,Sequential pattern mining and deep learning to enhance readability of indonesian text summarization,10.30534/ijatcse/2019/78862019,http://www.warse.org/IJATCSE/static/pdf/file/ijatcse78862019.pdf
"R. Mohemad, N. N. M. Muhait, N. M. M. Noor and Z. A. Othman",2020,Technique on Malay text summarization: A review,,http://sersc.org/journals/index.php/IJAST/article/view/8913
"S. A. M. Noah, N. M. Ali and M. S. Hasan",2018,Generation of news headline for malay language based on term features,10.17576/gema-2018-1804-04,https://ejournal.ukm.my/gema/article/view/28377/8677
"S. Omar, J. A. Bakar, M. Mohd Nadzir, N. H. Harun and N. Yusoff",2021,Text simplification for Malay corpus: A Review,10.1109/ICCOINS49721.2021.9497167,https://ieeexplore.ieee.org/document/9497167/
"N. A. Rahman, S. N. A. Ramlam, N. A. Azhar, H. M. Hanum, N. I. Ramli and N. Lateh",2021,Automatic Text Summarization for Malay News Documents Using Latent Dirichlet Allocation and Sentence Selection Algorithm,10.1109/CAMP51653.2021.9498029,https://ieeexplore.ieee.org/document/9498029/
V. Severina and M. L. Khodra,2019,Multidocument Abstractive Summarization using Abstract Meaning Representation for Indonesian Language,10.1109/ICAICTA.2019.8904449,https://ieeexplore.ieee.org/document/8904449/
"N. Shahrul Azman Mohd, A. Nazlena Mohamad and H. Mohd Sabri",2018,Penjanaan Ringkasan Isi Utama Berita Bahasa Melayu berdasarkan Ciri Kata (Generation of News Headline for Malay Language based on Term Features),http://dx.doi.org/10.17576/gema-2018-1804-04,https://www.proquest.com/scholarly-journals/penjanaan-ringkasan-isi-utama-berita-bahasa/docview/2407350429/se-2?accountid=8330
"A. Suhendra, J. Winadwiastuti, A. Darmayantie and N. Farida",2018,Terrorism domain corpus building using Latent Dirichlet Allocation (LDA) and its ontology relationship building using Global Similarity Hierarchy Learning(GSHL),10.1109/ICTS.2017.8265679,https://ieeexplore.ieee.org/document/8265679/
"H. Thamrin, G. Ariyanto, I. Yuliana and W. J. Pranoto",2019,Crowdsourcing in developing repository of phrase definition in Bahasa Indonesia,10.12928/TELKOMNIKA.v17i5.12005,http://journal.uad.ac.id/index.php/TELKOMNIKA/article/view/12005
I. N. P. Trisna and A. Nurwidyantoro,2020,Single document keywords extraction in Bahasa Indonesia using phrase chunking,10.12928/TELKOMNIKA.V18I4.14389,http://journal.uad.ac.id/index.php/TELKOMNIKA/article/view/14389
"K. Weiying, D. N. Pham, N. C. Hai and H. H. Ong",2018,Topic Modelling for Malay News Aggregator,10.1109/ICACCAF.2018.8776737,https://ieeexplore.ieee.org/document/8776737/
"W. Widodo, M. Nugraheni and I. P. Sari",2021,A comparative review of extractive text summarization in Indonesian language,http://dx.doi.org/10.1088/1757-899X/1098/3/032041,https://iopscience.iop.org/article/10.1088/1757-899X/1098/3/032041
"R. Wijayanti, M. L. Khodra and D. H. Widyantoro",2021,Indonesian Abstractive Summarization using Pre-Trained Model,10.1109/EIConCIT50028.2021.9431880,https://ieeexplore.ieee.org/document/9431880/
"G. Gunarso, H. Riza, E. Nurfadhilah, M. T. Uliniansyah, A. Santosa and L. R. Aini",2016,An overview of bppt’s indonesian language resources,,https://www.aclweb.org/anthology/W16-5409.pdf
"F. Koto, A. Rahimi, J. H. Lau and T. Baldwin",2020,IndoLEM and IndoBERT: A Benchmark Dataset and Pre-trained Language Model for Indonesian NLP,https://doi.org/10.18653/v1/2020.coling-main.66,https://aclanthology.org/2020.coling-main.66
T. S. Lan and R. Logeswaran,2020,Challenges and development in Malay natural language processing,10.31838/jcr.07.03.10,http://www.jcreview.com/fulltext/197-1583402707.pdf
"R. Mohemad, M. Nazratul Naziah Mohd, N. Noor Maizura Mohamad and O. Zulaiha Ali",2020,Unstructured Malay Text Analytics Model in Crime,http://dx.doi.org/10.1088/1757-899X/769/1/012015,https://iopscience.iop.org/article/10.1088/1757-899X/769/1/012015/meta
"I. M. Sukarsa, I. K. G. D. Putra, N. P. Sastra and L. Jasa",2018,A new framework for information system development on instant messaging for low cost solution,10.12928/TELKOMNIKA.v16i6.8614,http://journal.uad.ac.id/index.php/TELKOMNIKA/article/view/8614
A. Chowanda and A. D. Chowanda,2017,Recurrent Neural Network to Deep Learn Conversation in Indonesian,10.1016/j.procs.2017.10.078,https://www.sciencedirect.com/science/article/pii/S1877050917321282
"S. Nayak, C. S. Kumar, G. Ramesh, S. Bhati and K. S. Rama Murty",2019,Virtual phone discovery for speech synthesis without text,10.1109/GlobalSIP45357.2019.8969412,https://ieeexplore.ieee.org/document/8969412/
"M. Abu, A. Amir, N. A. H. Zahri and R. Ngadiran",2020,Voice-Based Malay Commands Recognition by Using Audio Fingerprint Method for Smart House Applications,http://dx.doi.org/10.1088/1757-899X/767/1/012053,https://iopscience.iop.org/article/10.1088/1757-899X/767/1/012053/meta
M. B. Andra and T. Usagawa,2020,Automatic Transcription and Captioning System for Bahasa Indonesia in Multi-Speaker Environment,10.1109/ICIIBMS50712.2020.9336388,https://ieeexplore.ieee.org/document/9336388/
M. B. Andra and T. Usagawa,2021,Improved Transcription and Speaker Identification System for Concurrent Speech in Bahasa Indonesia Using Recurrent Neural Network,10.1109/ACCESS.2021.3077441,https://ieeexplore.ieee.org/document/9422689
"M. Draman, D. C. Tee, Z. Lambak, M. R. Yahya, M. I. B. Mohd Yusoff, S. H. Ibrahim, S. Saidon, N. Abu Haris and T.-P. Tan",2017,Malay speech corpus of telecommunication call center preparation for ASR,10.1109/ICoICT.2017.8074675,https://ieeexplore.ieee.org/document/8074675/
"S. Dwijayanti, M. A. Tami and B. Y. Suprapto",2021,Speech-to-Text Conversion in Indonesian Language Using a Deep Bidirectional Long Short-Term Memory Algorithm,10.14569/IJACSA.2021.0120327,https://pdfs.semanticscholar.org/ba2e/20d5d050ae2d45308c7d6696155f51e8ad4a.pdf
"S. N. Endah, S. Adhy and Sutikno",2017,Comparison of feature extraction MFCC and LPC in automatic speech recognition for Indonesian,10.12928/TELKOMNIKA.v15i1.3605,https://www.proquest.com/docview/1900756205?pq-origsite=gscholar&fromopenview=true
"T. S. Gunawan, R. Husain and M. Kartiwi",2018,Development of language identification system using MFCC and vector quantization,10.1109/ICSIMA.2017.8312034,https://ieeexplore.ieee.org/document/8312034/
"R. Hamzah, N. Jamil, K. A. F. A. Samah, N. N. A. Mangshor, N. Sabri and R. Roslan",2017,Comparing statistical classifiers for emotion classification,10.1109/ICSEngT.2017.8123443,https://ieeexplore.ieee.org/document/8123443/
"R. M. Hanifa, K. Isa, S. Mohamad, S. M. Shah, S. S. Nathan, R. Ramle and M. Berahim",2019,Voiced and unvoiced separation in Malay speech using zero crossing rate and energy,10.11591/ijeecs.v16.i2.pp775-780,https://pdfs.semanticscholar.org/f284/40d9b429722280d36204f156f086ce9b5534.pdf
"R. Hidayat, Priyatmadi and W. Ikawijaya",2016,Wavelet based feature extraction for the vowel sound,10.1109/ICITSI.2015.7437702,https://ieeexplore.ieee.org/document/7437702/
"D. Hoesen, D. P. Lestari and D. H. Widyantoro",2018,Shared-hidden-layer deep neural network for under-resourced language the content,10.12928/TELKOMNIKA.v16i3.7984,https://core.ac.uk/download/pdf/295537269.pdf
J. Ibrahim and D. P. Lestari,2018,Classification and clustering to identify spoken dialects in Indonesian,10.1109/ICODSE.2017.8285852,https://ieeexplore.ieee.org/document/8285852/
"N. J. Ibrahim, M. Y. I. Idris, M. Y. Z. M. Yusoff, N. N. A. Rahman and M. I. Dien",2019,Robust Feature Extraction Based On Spectral And Prosodic Features For Classical Arabic Accents Recognition,10.22452/mjcs.sp2019no3.4,http://mojem.um.edu.my/index.php/MJCS/article/view/21463
"N. Jamal, N. Fuad and M. N. A. H. Sha’abani",2020,A hybrid approach for single channel speech enhancement using deep neural network and harmonic regeneration noise reduction,10.14569/IJACSA.2020.0111033,https://thesai.org/Publications/ViewPaper?Volume=11&Issue=10&Code=IJACSA&SerialNo=33
"N. Jamil, F. Apandi and R. Hamzah",2017,Influences of age in emotion recognition of spontaneous speech: A case of an under-resourced language,10.1109/SPED.2017.7990448,https://ieeexplore.ieee.org/document/7990448/
"Y.-M. J. Khaw, T.-P. Tan and B. Ranaivo-Malançon",2017,Automatic phoneme identification for Malay dialects,,https://jtec.utem.edu.my/jtec/article/view/2680
"T. P. Laksono, A. F. Hidayatullah and C. I. Ratnasari",2019,Speech to Text of Patient Complaints for Bahasa Indonesia,10.1109/IALP.2018.8629161,https://ieeexplore.ieee.org/document/8629161/
"B. P. Lim, F. Wong, Y. Li and J. W. Bay",2016,Transfer learning with bottleneck feature networks for whispered speech recognition,10.21437/Interspeech.2016-250,https://www.isca-speech.org/archive_v0/Interspeech_2016/pdfs/0250.PDF
M. Maseri and M. Mamat,2019,Malay language speech recognition for preschool children using Hidden Markov Model (HMM) system training,https://doi.org/10.1007/978-981-13-2622-6_21,https://link.springer.com/chapter/10.1007/978-981-13-2622-6_21
M. R. A. R. Maulana and M. I. Fanany,2018,Indonesian audio-visual speech corpus for multimodal automatic speech recognition,10.1109/ICACSIS.2017.8355062,https://ieeexplore.ieee.org/document/8355062/
M. R. A. R. Maulana and M. I. Fanany,2018,Sentence-level Indonesian lip reading with spatiotemporal CNN and gated RNN,10.1109/ICACSIS.2017.8355061,https://ieeexplore.ieee.org/document/8355061/
Z. Maxwelll-Smith and B. Foley,2021,Developing ASR for Indonesian-English Bilingual Language Teaching,https://doi.org/10.26615/978-954-452-056-4_017,https://aclanthology.org/2021.calcs-1.17.pdf
"Z. Maxwelll-Smith, S. G. Ochoa, B. Foley and H. Suominen",2020,Applications of natural language processing in bilingual language teaching: An Indonesian-English case study,10.18653/v1/2020.bea-1.12,https://aclanthology.org/2020.bea-1.12
H. Mohamed Hanum and Z. Abu Bakar,2016,Detection of malay phrase breaks using energy and duration,10.5013/IJSSST.a.17.32.26,https://ijssst.info/Vol-17/No-32/paper26.pdf
"Muljono, A. Q. Syadida, D. R. I. M. Setiadi and A. Setyono",2017,Sphinx4 for Indonesian continuous speech recognition system,10.1109/ISEMANTIC.2017.8251881,https://ieeexplore.ieee.org/document/8251881/
"S. Novitasari, A. Tjandra, S. Sakti and S. Nakamura",2020,"Cross-Lingual Machine Speech Chain for Javanese, Sundanese, Balinese, and Bataks Speech Recognition and Synthesis",,https://www.aclweb.org/anthology/2020.sltu-1.18/
E. A. Parande and S. Suyanto,2019,Indonesian graphemic syllabification using a nearest neighbour classifier and recovery procedure,10.1007/s10772-018-09569-3,https://link.springer.com/article/10.1007/s10772-018-09569-3
"F. Y. Putri, D. Hoesen and D. P. Lestari",2019,Rule-Based Pronunciation Models to Handle OOV Words for Indonesian Automatic Speech Recognition System,10.1109/ICSITech46713.2019.8987472,https://ieeexplore.ieee.org/document/8987472/
R. Rajoo and C. C. Aun,2016,"Influences of languages in speech emotion recognition: A comparative study using Malay, English and Mandarin languages",10.1109/ISCAIE.2016.7575033,https://ieeexplore.ieee.org/document/7575033/
A.-k. Rami Ali and A. Rini,2017,Speech to Text Translation for Malay Language,http://dx.doi.org/10.1088/1757-899X/260/1/012042,https://iopscience.iop.org/article/10.1088/1757-899X/260/1/012042/meta
"F. Rosdi, M. B. Mustafa and S. S. Salim",2017,Assessing automatic speech recognition in measuring speech intelligibility: a study of malay speakers with speech impairments,,https://ieeexplore.ieee.org/document/8312396
N. Seman and A. F. Norazam,2019,Hybrid methods of Brandt’s generalised likelihood ratio and short-term energy for Malay word speech segmentation,10.11591/ijeecs.v16.i1.pp283-291,http://ijeecs.iaescore.com/index.php/IJEECS/article/view/19927
S. Suyanto,2019,Incorporating syllabification points into a model of grapheme-to-phoneme conversion,10.1007/s10772-019-09619-4,https://link.springer.com/article/10.1007/s10772-019-09619-4
S. Suyanto,2019,Flipping onsets to enhance syllabification,10.1007/s10772-019-09649-y,https://link.springer.com/article/10.1007/s10772-019-09649-y
S. Suyanto,2020,Phonological similarity-based backoff smoothing to boost a bigram syllable boundary detection,10.1007/s10772-020-09677-z,https://link.springer.com/article/10.1007/s10772-020-09677-z
"S. Suyanto, A. Arifianto, A. Sirwan and A. P. Rizaendra",2020,End-to-End Speech Recognition Models for a Low-Resourced Indonesian Language,10.1109/ICoICT49345.2020.9166346,https://ieeexplore.ieee.org/document/9166346/
"S. Suyanto, S. Hartati, A. Harjoko and D. Van Compernolle",2016,Indonesian syllabification using a pseudo nearest neighbour rule and phonotactic knowledge,10.1016/j.specom.2016.10.009,https://www.sciencedirect.com/science/article/abs/pii/S016763931630005X
B. Tawaqal and S. Suyanto,2021,Recognizing Five Major Dialects in Indonesia Based on MFCC and DRNN,http://dx.doi.org/10.1088/1742-6596/1844/1/012003,https://iopscience.iop.org/article/10.1088/1742-6596/1844/1/012003/meta
"C. B. Vista, C. H. Satriawan, D. P. Lestari and D. H. Widyantoro",2018,Specific acoustic models for spontaneous and dictated style in indonesian speech recognition,10.1088/1742-6596/978/1/012059,https://iopscience.iop.org/article/10.1088/1742-6596/978/1/012059/meta
"L. Wang, R. Tong, C.-C. Leung, S. Sivadas, C. Ni and B. Ma",2018,Cloud-based automatic speech recognition systems for southeast asian languages,10.1109/ICOT.2017.8336109,https://ieeexplore.ieee.org/document/8336109/
"V. A. Wardhany, M. H. Kurnia, S. Sukaridhoto, A. Sudarsono and D. Pramadihanto",2016,Smart presentation system using hand gestures and Indonesian speech command,10.1109/ELECSYM.2015.7380816,https://ieeexplore.ieee.org/document/7380816/
"Z. Zeng, V. T. Pham, H. Xu, Y. Khassanov, E. S. Chng, C. Ni and B. Ma",2021,Leveraging Text Data Using Hybrid Transformer-LSTM Based End-to-End ASR in Transfer Learning,10.1109/ISCSLP49672.2021.9362086,https://ieeexplore.ieee.org/document/9362086/
"V. Andreas, A. A. S. Gunawan and W. Budiharto",2019,Anita: Intelligent Humanoid Robot with Self-Learning Capability Using Indonesian Language,10.1109/ACIRS.2019.8935964,https://ieeexplore.ieee.org/document/8935964/
"W. Budiharto, V. Andreas and A. A. S. Gunawan",2021,A novel model and implementation of humanoid robot with facial expression and natural language processing (Nlp),10.24507/icicelb.12.03.275,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101585988&doi=10.24507%2ficicelb.12.03.275&partnerID=40&md5=cb932efc5ebb08791cbcc716a2c22773
"R. Gunawan, I. Taufik, E. Mulyana, O. T. Kurahman, M. A. Ramdhani and M. Mahmud",2019,Chatbot Application on Internet of Things (IoT) to Support Smart Urban Agriculture,10.1109/ICWT47785.2019.8978223,https://ieeexplore.ieee.org/document/8978223/
X. Hinaut and J. Twiefel,2020,Teach your robot your language! trainable neural parser for modeling human sentence processing: Examples for 15 languages,10.1109/TCDS.2019.2957006,https://ieeexplore.ieee.org/document/8918292/
"Mirwan, A. Nugroho, F. Hendarta, R. Hidayatillah, F. Hassan and K. P. Nana",2018,Virtual assistant using lstm networks in Indonesian,10.1109/ISRITI.2018.8864448,https://ieeexplore.ieee.org/document/8864448/
"A. Santosa, A. D. Latief, H. Riza, A. Jarin, L. R. Aini, Gunarso, G. C. Puspita, M. T. Uliniansyah, E. Nurfadhilah, H. A. Prafitia and M. Gunawan",2019,The Architecture of Speech-to-Speech Translator for Mobile Conversation,10.1109/O-COCOSDA46868.2019.9041196,https://ieeexplore.ieee.org/document/9041196/
"M. Teduh Uliniansyah, H. Riza, A. Santosa, Gunarso, M. Gunawan and E. Nurfadhilah",2018,Development of text and speech corpus for an Indonesian speech-to-speech translation system,10.1109/ICSDA.2017.8384448,https://ieeexplore.ieee.org/document/8384448/
"C. Tho, A. S. Setiawan and A. Chowanda",2018,Forming of Dyadic Conversation Dataset for Bahasa Indonesia,10.1016/j.procs.2018.08.179,https://www.sciencedirect.com/science/article/pii/S1877050918314686
"E. H. Yossy, S. Karim and D. D. Rachmantyo",2020,Development of Indonesian Language Speech Recognition Algorithm Model in Knowledge Database,10.1109/ICITACEE50144.2020.9239241,https://ieeexplore.ieee.org/document/9239241/
M. J. Budiman and D. P. Lestari,2020,Multi Speaker Speech Synthesis System for Indonesian Language,10.1109/ICAICTA49861.2020.9429050,https://ieeexplore.ieee.org/document/9429050/
"F. Chen, J. Yang and L. Zhao",2020,A Bilingual Speech Synthesis System of Standard Malay and Indonesian Based on HMM-DNN,10.1109/IALP51396.2020.9310503,https://ieeexplore.ieee.org/document/9310503/
"D. Hoesen, F. Y. Putri and D. P. Lestari",2019,Automatic Pronunciation Generator for Indonesian Speech Recognition System Based on Sequence-to-Sequence Model,10.1109/O-COCOSDA46868.2019.9041182,https://ieeexplore.ieee.org/document/9041182/
X. Kong and J. Yang,2018,Indonesian Corpus Constructing and Text Processing for Speech Synthesis,10.1109/IALP.2018.8629122,https://ieeexplore.ieee.org/document/8629122
"Muljono, S. Sumpeno, D. Arifianto, K. Aikawa and M. Purnomo",2016,Developing an online self-learning system of Indonesian pronunciation for foreign learners,10.3991/ijet.v11i04.5440,https://www.learntechlib.org/p/172420/
"I. Ramli, N. Jamil, N. Seman and N. Ardi",2017,The first Malay language storytelling text-to-speech (TTS) corpus for humanoid robot storytellers,,https://www.ajol.info/index.php/jfas/article/view/165311/154771
"I. Ramli, J. Nursuriati and N. Seman",2021,An Iterated Two-Step Sinusoidal Pitch Contour Formulation for Expressive Speech Synthesis,http://dx.doi.org/10.32890/jict2021.20.4.2,https://www.proquest.com/scholarly-journals/iterated-two-step-sinusoidal-pitch-contour/docview/2581040049/se-2
"M. T. Uliniansyah, Gunarso, E. Nurfadhilah, L. R. Aini, J. Junde, F. Ayuningtyas and A. Santosa",2016,A Tool to Solve Sentence Segmentation Problem on Preparing Speech Database for Indonesian Text-to-speech System,10.1016/j.procs.2016.04.048,https://www.sciencedirect.com/science/article/pii/S187705091630062X
"M. T. Uliniansyah, E. Nurfadhilah, H. Annisa, M. Gunawan, L. R. Aini, A. Santosa, A. Jarin, Gunarso, F. Ayuningtyas and H. Riza",2019,Utilizing Indonesian Allophones and Intraword Short Pauses Handling to Improve Performance of Indonesian Text-To-Speech,10.1109/IALP.2018.8629128,https://ieeexplore.ieee.org/document/8629128/
"L. Zhao, J. Yang and Q. Qin",2020,Enhancing Prosodic Features by Adopting Pre-trained Language Model in Bahasa Indonesia Speech Synthesis,10.1145/3446132.3446196,https://dl.acm.org/doi/abs/10.1145/3446132.3446196?casa_token=XN1LaIanlqEAAAAA:VlmP3lM0kHEJF2AYCDzcGjhmLpNGvBhhwWqISR31Rgwexc5U7gi1tNnbwdh4bAJeN-ZWF1HcPBEcpw
"Z. Noh, S. Z. Z. Abidin and N. Omar",2019,Poetry visualization in digital technology,10.1007/978-3-030-10922-6_9,https://link.springer.com/chapter/10.1007/978-3-030-10922-6_9
"I. Stefanus, R. S. J. Sarwono and M. I. Mandasari",2017,GMM based automatic speaker verification system development for forensics in Bahasa Indonesia,10.1109/ICA.2017.8068413,https://ieeexplore.ieee.org/document/8068413/
"N. A. S. Abdullah, N. I. Shaari and A. R. A. Rahman",2017,Review on sentiment analysis approaches for social media data,10.3923/jeasci.2017.462.467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017411202&doi=10.3923%2fjeasci.2017.462.467&partnerID=40&md5=53342d8f0a9d7d6ed286dc0278dd4357
"M. F. R. Abu Bakar, N. Idris, L. Shuib and N. Khamis",2020,"Sentiment Analysis of Noisy Malay Text: State of Art, Challenges and Future Work",10.1109/ACCESS.2020.2968955,https://ieeexplore.ieee.org/document/8967092/
"R. M. Cahyaningtyas, R. Kusumaningrum, Sutikno, Suhartono and D. E. Riyanto",2017,Emotion detection of tweets in Indonesian language using LDA and expression symbol conversion,10.1109/ICICOS.2017.8276371,https://ieeexplore.ieee.org/document/8276371/
"M. Hazim, N. B. Anuar, M. F. Ab Razak and N. A. Abdullah",2018,Detecting opinion spams through supervised boosting approach,10.1371/journal.pone.0198884,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0198884
"M. H. A. Hijazi, L. Libin, R. Alfred and F. Coenen",2017,Bias aware lexicon-based Sentiment Analysis of Malay dialect on social media data: A study on the Sabah Language,10.1109/ICSITech.2016.7852662,https://ieeexplore.ieee.org/document/7852662/
M. O. Ibrohim and I. Budi,2019,Translated vs non-translated method for multilingual hate speech identification in Twitter,10.18517/ijaseit.9.4.8123,https://core.ac.uk/download/pdf/296919330.pdf
"M. N. F. Jamaluddin, S. Z. Z. Abidin and N. Omar",2017,Classification and quantification of user's emotion on Malay language in social network sites using Latent Semantic Analysis,10.1109/ICOS.2016.7881990,https://ieeexplore.ieee.org/document/7881990/
